Hf,TVF,OH,SVF,TF,IP,phiedge
4344.39,1147.89,16434.8,-321.074,-40.4960,49226.9,-0.0535141
4420.80,961.177,-14.7698,-407.376,-12.8009,32.6227,-0.0421219
4317.80,1165.67,18019.0,-481.422,-45.2281,59831.0,-0.0573256
4342.34,956.509,-14.9720,-7.23400,-23.9067,24.8739,-0.0387950
4242.35,1173.94,20824.0,-89.9587,-52.9704,59749.2,-0.0481652
4271.17,952.535,-16.9976,-7.62425,-417.027,-5.58100,-0.0407769
4180.67,1146.54,16803.0,-80.0645,-456.141,51452.2,-0.0526107
4256.67,949.769,-17.0088,-8.00735,-404.561,-19.0761,-0.0405849
4171.75,1143.10,16682.4,-79.0943,-446.520,50553.8,-0.0522513
4253.97,944.570,-18.3779,-204.500,-413.695,-7.07207,-0.0506931
4161.27,1140.50,17187.3,-272.980,-466.786,53465.2,-0.0576611
4246.17,943.702,-17.0649,-201.612,-415.327,-9.00579,-0.0504167
4154.59,1130.50,16687.8,-269.002,-466.128,47818.9,-0.0577296
4231.14,914.233,-20.9425,-204.797,-413.145,3.02190,-0.0512178
4149.97,1123.86,18413.4,-276.965,-470.230,55187.5,-0.0564159
4209.20,914.167,-12.6038,-201.956,-417.859,3.75557,-0.0508357
4094.10,1144.81,23101.6,-281.906,-502.456,68736.0,-0.0573322
4192.88,903.221,-13.4344,-410.530,-398.089,1.88737,-0.0459943
4054.49,1144.44,23539.6,-491.044,-492.146,80136.8,-0.0601916
4196.87,879.125,-13.1761,-408.615,-411.991,10.8027,-0.0508017
4091.60,1105.85,22806.2,-484.363,-479.184,62484.8,-0.0626368
4213.82,881.727,-16.4308,-410.568,-415.090,17.5344,-0.0510502
4111.81,1105.56,22835.1,-482.310,-494.803,59796.8,-0.0635449
4220.72,885.540,-14.8203,-408.026,-408.891,13.2291,-0.0506719
4112.13,1112.38,22543.8,-485.886,-490.715,65834.5,-0.0624364
4244.47,896.495,-15.5386,-1.75256,-418.364,6.09639,-0.0401753
4169.10,1093.11,18090.0,-26.8899,-473.486,40608.6,-0.0519106
4249.63,892.650,-18.4959,150.963,-396.698,-5.23595,-0.0329427
4162.50,1109.19,21003.7,80.3957,-461.687,48118.1,-0.0487340
4246.36,916.162,-17.5025,151.916,-414.003,15.1136,-0.0327716
4167.55,1131.73,21741.6,81.6434,-480.736,46111.1,-0.0499955
4238.36,917.178,-15.8921,206.136,-407.630,18.5580,-0.0303064
4144.23,1135.35,20955.7,130.946,-482.476,52899.3,-0.0484745
4244.94,962.910,-17.6878,204.530,-424.684,19.2942,-0.0301717
4146.73,1180.56,20695.3,131.547,-480.074,55476.1,-0.0498572
4241.85,964.082,-18.1702,309.173,-412.161,19.8949,-0.0249249
4149.39,1178.56,20220.8,235.047,-473.110,54105.6,-0.0476555
4272.80,977.134,-16.6721,309.907,-24.6178,39.0937,-0.0243063
4190.50,1189.47,20906.0,237.999,-50.0273,50969.9,-0.0420686
4183.93,969.067,-18.3781,309.614,-401.650,24.5520,-0.0237782
4100.94,1171.20,19443.6,239.420,-463.552,49331.5,-0.0473740
4046.04,937.852,-18.6865,413.908,-389.068,11.0504,-0.0185305
3949.15,1162.84,21754.3,331.907,-446.846,56255.3,-0.0441032
4054.14,957.440,-22.2106,411.697,-387.377,11.7363,-0.0177988
3987.98,1142.72,17950.6,349.144,-438.675,40231.3,-0.0433476
3890.52,934.084,-26.1048,411.950,-361.020,-1.60620,-0.0158254
3843.05,1051.39,9419.82,366.197,-385.651,24169.0,-0.0378580
3657.65,889.469,-23.2657,-1.19403,-805.393,16.1491,-0.0335692
3572.69,1081.83,16523.0,-40.9587,-836.921,44592.5,-0.0537535
3653.11,886.565,-22.9232,-1.64694,-794.314,19.1391,-0.0338199
3549.57,1097.48,18380.5,-35.3412,-835.552,56864.1,-0.0543133
3650.68,884.061,-24.1970,-2.16429,-798.581,13.6868,-0.0340496
3541.73,1101.33,18751.8,-33.5492,-841.586,62158.1,-0.0545236
3643.84,908.331,-24.4046,-1.22088,-790.865,25.8239,-0.0319384
3535.65,1119.00,18919.8,-30.6850,-837.672,61289.7,-0.0552197
3634.94,904.045,-25.4316,-1.18150,-785.552,17.8524,-0.0317851
3522.94,1113.11,18799.7,-30.5006,-846.009,60446.8,-0.0552923
3634.64,825.780,-26.6210,-1.50015,-794.327,10.2553,-0.0367583
3527.29,1035.04,18862.1,-28.4258,-850.455,55097.7,-0.0528467
3631.06,823.268,-24.1577,149.440,-790.467,1.75551,-0.0275043
3549.02,1018.54,18748.3,84.7547,-840.007,44040.8,-0.0499519
3631.31,851.025,-25.8917,148.805,-789.998,33.8150,-0.0267196
3536.47,1050.96,17798.4,78.5017,-838.504,54706.1,-0.0506200
3641.89,879.803,-24.6009,151.282,-790.816,25.0903,-0.0252834
3545.13,1083.79,18417.2,77.2719,-843.947,57444.8,-0.0517568
3649.38,905.155,-24.9489,147.985,-793.862,16.0878,-0.0257006
3541.35,1111.89,18804.5,73.9082,-851.605,59758.1,-0.0528457
3663.76,888.579,-23.8772,202.618,-786.164,14.8340,-0.0235757
3555.33,1096.84,18699.7,129.739,-842.937,60528.0,-0.0509059
3666.58,887.331,-25.4932,203.164,-783.910,16.8323,-0.0235506
3587.66,1086.14,18888.8,131.510,-833.468,42424.2,-0.0492852
3662.94,908.090,-25.7290,201.154,-783.190,15.5220,-0.0215822
3579.07,1109.79,19104.7,133.434,-833.437,44050.5,-0.0500561
3660.72,859.507,-25.3473,201.811,-779.657,23.7113,-0.0240102
3562.65,1073.69,20332.3,128.207,-838.379,54528.6,-0.0495893
3660.66,859.044,-26.4022,253.358,-781.736,23.5222,-0.0213386
3564.91,1070.85,19709.4,184.235,-837.534,54050.4,-0.0484105
3658.83,884.632,-29.3089,254.576,-780.918,12.0158,-0.0197601
3554.58,1098.18,19360.6,182.262,-837.493,57485.5,-0.0492689
3661.22,907.649,-28.0070,252.515,-780.654,9.96407,-0.0187303
3553.40,1120.85,19328.0,179.457,-838.965,58775.1,-0.0497909
3660.59,908.794,-26.8847,304.029,-779.769,-1.69371,-0.0164226
3560.17,1118.64,19095.6,232.390,-834.452,55994.4,-0.0488611
3659.95,884.587,-27.6703,305.769,-776.750,-2.14033,-0.0173581
3565.52,1091.33,19418.6,233.617,-832.819,53094.3,-0.0469776
3659.84,857.324,-25.7794,304.061,-777.921,8.89091,-0.0187466
3568.37,1063.32,19517.0,234.270,-833.280,51261.3,-0.0471536
3741.56,859.173,-26.3798,357.900,-49.9289,11.2394,-0.0180648
3660.73,1048.99,17350.3,290.461,-73.1333,42846.9,-0.0354480
3654.73,884.066,-25.6503,357.595,-784.317,-6.83131,-0.0150943
3594.47,1041.00,13793.0,305.763,-818.095,32651.5,-0.0439851
3659.45,884.863,-26.3572,358.499,-781.974,-6.83184,-0.0152662
3570.92,1087.31,19542.8,289.396,-834.814,48452.5,-0.0467197
3658.08,885.037,-27.7826,358.736,-783.539,-9.69897,-0.0155712
3581.17,1079.85,18768.3,294.582,-834.474,43117.5,-0.0466506
3659.72,857.725,-28.4279,358.043,-774.956,-7.16755,-0.0169608
3569.73,1063.02,19475.4,290.935,-828.548,50156.5,-0.0463832
